Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2022-02-18,Pursuit,"Detective Breslin crosses paths with Calloway, a ruthless hacker desperate to find his wife, who has been kidnapped by a drug cartel. When Calloway escapes police custody, Breslin joins forces with a no-nonsense female cop to reclaim his prisoner. But is Calloway’s crime-boss father somehow involved in this explosive situation?",1500.523,16,5.9,en,"Action, Crime, Thriller",https://image.tmdb.org/t/p/original/wYihSXWYqN8Ejsdut2P1P0o97N0.jpg
2021-08-06,My Hero Academia: World Heroes' Mission,"A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-classic selected hero team. It is up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.",1485.064,100,7.3,ja,"Animation, Action, Fantasy, Adventure",https://image.tmdb.org/t/p/original/4NUzcKtYPKkfTwKsLjwNt8nRIXV.jpg
2022-02-25,Restless,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",1468.377,107,5.9,fr,"Action, Thriller, Crime",https://image.tmdb.org/t/p/original/aw4GGsRwhQtyLsjzC7dsAahfCDY.jpg
2021-12-02,Nightmare Alley,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,1455.144,952,7.1,en,"Crime, Drama, Thriller",https://image.tmdb.org/t/p/original/680klE0dIreQQOyWKFgNnCAJtws.jpg
2022-01-28,The Ice Age Adventures of Buck Wild,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,1431.307,737,7.1,en,"Animation, Comedy, Adventure, Family",https://image.tmdb.org/t/p/original/zzXFM4FKDG7l1ufrAkwQYv2xvnh.jpg
2022-02-25,Hotel Transylvania: Transformania,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",1373.778,288,7.0,en,"Animation, Family, Fantasy, Comedy, Adventure",https://image.tmdb.org/t/p/original/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg
2022-02-18,Texas Chainsaw Massacre,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin.",1312.79,521,5.1,en,Horror,https://image.tmdb.org/t/p/original/meRIRfADEGVo65xgPO6eZvJ0CRG.jpg
2022-01-28,The Requin,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",1252.317,65,4.6,en,Thriller,https://image.tmdb.org/t/p/original/i0z8g2VRZP3dhVvvSMilbOZMKqR.jpg
2022-02-04,Looop Lapeta,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",1240.946,31,6.0,hi,"Action, Comedy, Crime",https://image.tmdb.org/t/p/original/onGdT8sYi89drvSJyEJnft97rOq.jpg
2021-11-04,Red Notice,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",1178.544,3193,6.8,en,"Action, Comedy, Crime, Thriller",https://image.tmdb.org/t/p/original/lAXONuqg41NwUMuzMiFvicDET9Y.jpg
2021-12-01,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",1112.9,2172,8.2,en,"Animation, Comedy, Family, Music",https://image.tmdb.org/t/p/original/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg
2022-01-03,The Jack in the Box: Awakening,"When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.",1096.79,43,5.4,en,Horror,https://image.tmdb.org/t/p/original/3Ib8vlWTrAKRrTWUrTrZPOMW4jp.jpg
2021-09-30,Venom: Let There Be Carnage,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",1053.615,6539,7.1,en,"Science Fiction, Action, Adventure",https://image.tmdb.org/t/p/original/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg
2021-12-16,The Matrix Resurrections,"Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.",941.024,3160,6.8,en,"Science Fiction, Action, Adventure",https://image.tmdb.org/t/p/original/8c4a8kE7PizaGQQnditMmI1xbRp.jpg
2021-11-24,Resident Evil: Welcome to Raccoon City,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",881.086,1312,6.1,en,"Horror, Action, Science Fiction",https://image.tmdb.org/t/p/original/7uRbWOXxpWDMtnsd2PF3clu65jc.jpg
2021-10-19,Last Man Down,"After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.",869.605,318,6.3,en,"Action, Thriller",https://image.tmdb.org/t/p/original/4B7liCxNCZIZGONmAMkCnxVlZQV.jpg
2022-01-07,American Siege,An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.,867.326,49,5.4,en,"Action, Thriller, Crime, Drama",https://image.tmdb.org/t/p/original/daeVrgyj0ue8qb3AHyU3UeCwoZz.jpg
2022-02-10,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",866.391,691,7.1,en,"Action, Adventure",https://image.tmdb.org/t/p/original/sqLowacltbZLoCa4KYye64RvvdQ.jpg
2020-10-16,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",845.992,2224,8.4,ja,"Animation, Action, Adventure, Fantasy",https://image.tmdb.org/t/p/original/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg
2021-11-11,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",839.904,2225,7.7,en,"Fantasy, Comedy, Adventure",https://image.tmdb.org/t/p/original/sg4xJaufDiQl7caFEskBtQXfD4x.jpg
2022-01-05,The 355,"A group of top female agents from American, British, Chinese, Columbian and German  government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.",781.748,313,6.1,en,"Action, Thriller",https://image.tmdb.org/t/p/original/uQt2dJFMnJmAp9zLAWNfGilK0BW.jpg
2021-09-01,Shang-Chi and the Legend of the Ten Rings,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,769.185,5845,7.7,en,"Action, Adventure, Fantasy",https://image.tmdb.org/t/p/original/1BIoJGKbXjdFDAqUEiA2VHqkK1Z.jpg
2022-02-09,Marry Me,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.",761.793,230,6.9,en,"Romance, Comedy, Music",https://image.tmdb.org/t/p/original/ko1JVbGj4bT8IhCWqjBQ6ZtF2t.jpg
2022-01-21,The Hunting,"When a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife specialist to uncover the dark and disturbing truth that threatens the town.",761.127,10,5.8,en,Horror,https://image.tmdb.org/t/p/original/kvhrltQIRp1u84ao9uj52YPaWNY.jpg
2021-12-08,West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",678.186,562,7.4,en,"Drama, Romance, Crime",https://image.tmdb.org/t/p/original/yfz3IUoYYSY32tkb97HlUBGFsnh.jpg
2022-02-04,Through My Window,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",659.105,1331,7.8,es,"Romance, Drama",https://image.tmdb.org/t/p/original/6gg7fvKc1ZxP9yCczweSxIGYp4S.jpg
2021-07-02,The Seven Deadly Sins: Cursed by Light,"With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path.",647.54,312,8.0,ja,"Animation, Fantasy",https://image.tmdb.org/t/p/original/k0ThmZQl5nHe4JefC2bXjqtgYp0.jpg
2021-11-05,One Shot,"An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.",622.24,382,6.8,en,Action,https://image.tmdb.org/t/p/original/3OXiTjU30gWtqxmx4BU9RVp2OTv.jpg
2022-01-24,Tom and Jerry: Cowboy Up!,"This time, the rivals team up to help a cowgirl and her brother save their homestead from a greedy land-grabber, and they’re going to need some help! Jerry’s three precocious nephews are all ready for action, and Tom is rounding up a posse of prairie dogs. But can a ragtag band of varmints defeat a deceitful desperado determined to deceive a damsel in distress? No matter what happens with Tom and Jerry in the saddle, it’ll be a rootin’ tootin’ good time!",614.11,163,7.1,en,"Animation, Comedy, Family, Western",https://image.tmdb.org/t/p/original/muIaHotSaSUQr0KZCIJOYQEe7y2.jpg
2020-10-15,Chernobyl: Abyss,The aftermath of a shocking explosion at the Chernobyl nuclear power station made hundreds of people sacrifice their lives to clean up the site of the catastrophe and to successfully prevent an even bigger disaster that could have turned a large part of the European continent into an uninhabitable exclusion zone. This is their story.,601.958,314,6.2,ru,"Drama, History, Adventure",https://image.tmdb.org/t/p/original/AmJLuHjxPdIJO6vmymeWADG6jK5.jpg
2022-02-25,Desperate Riders,"After Kansas Red rescues young Billy from a card-game shootout, the boy asks Red for help protecting his family from the outlaw Thorn, who’s just kidnapped Billy’s mother, Carol. As Red and Billy ride off to rescue Carol, they run into beautiful, tough-as-nails Leslie, who’s managed to escape Thorn’s men. The three race to stop Thorn’s wedding to Carol with guns a-blazing - but does she want to be rescued?",590.474,10,6.8,en,"Western, Action",https://image.tmdb.org/t/p/original/7pYYGm1dWZGkbJuhcuaHD6nE6k7.jpg
2021-11-10,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",585.011,1100,7.3,en,"Family, Adventure, Comedy, Fantasy",https://image.tmdb.org/t/p/original/oifhfVhUcuDjE61V5bS5dfShQrm.jpg
2022-02-25,Tyler Perry's A Madea Homecoming,Madea's back - hallelujer! And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,577.591,42,6.7,en,Comedy,https://image.tmdb.org/t/p/original/vzX5GNRTXsAltdU1tfASmZbzYmv.jpg
2021-07-01,The Boss Baby: Family Business,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,567.421,1785,7.6,en,"Animation, Comedy, Adventure, Family",https://image.tmdb.org/t/p/original/kv2Qk9MKFFQo4WQPaYta599HkJP.jpg
2022-03-10,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",564.507,8,8.6,en,"Animation, Family, Comedy, Fantasy",https://image.tmdb.org/t/p/original/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg
2022-01-13,Brazen,Mystery writer Grace Miller has killer instincts when it comes to motive - and she'll need every bit of expertise to help solve her sister's murder.,553.141,211,4.8,en,"Thriller, Mystery, Drama",https://image.tmdb.org/t/p/original/7e4n1GfC9iky9VQzH3cDQz9wYpO.jpg
2022-01-14,The House,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",551.65,432,7.1,en,"Animation, Drama, Comedy, Horror",https://image.tmdb.org/t/p/original/iZjMFSKCrleKolC1gYcz5Rs8bk1.jpg
2022-02-10,Blacklight,Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.,533.903,88,5.1,en,"Action, Thriller",https://image.tmdb.org/t/p/original/bv9dy8mnwftdY2j6gG39gCfSFpV.jpg
2021-10-15,Ron's Gone Wrong,"In a world where walking, talking, digitally connected bots have become children's best friends, an 11-year-old finds that his robot buddy doesn't quite work the same as the others do.",509.277,1000,8.1,en,"Animation, Science Fiction, Family, Comedy",https://image.tmdb.org/t/p/original/7M0uwPgwvPONdFG0jk8TPK09xJU.jpg
2021-08-11,Free Guy,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,447.872,5158,7.7,en,"Comedy, Action, Adventure, Science Fiction",https://image.tmdb.org/t/p/original/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg
2021-05-26,Cruella,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",429.613,6675,8.2,en,"Comedy, Crime",https://image.tmdb.org/t/p/original/wToO8opxkGwKgSfJ1JK8tGvkG6U.jpg
2021-07-28,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",424.983,5689,7.7,en,"Action, Adventure, Fantasy",https://image.tmdb.org/t/p/original/kb4s0ML0iVZlG6wAKbbs9NAm6X.jpg
2021-11-12,The Simpsons in Plusaversary,"The Simpsons host a Disney+ Day party and everyone is on the list… except Homer. With friends from across the service and music fit for a Disney Princess, Plusaversary is Springfield's event of the year.",418.589,251,6.6,en,"Animation, Comedy, Fantasy",https://image.tmdb.org/t/p/original/p5jzbffrXuBTjsiwrQ3aOMTrvCj.jpg
2022-01-17,Forgive Us Our Trespasses,"Targeted by Nazis as they hunt down and murder people with disabilities, a boy with a limb difference makes a daring decision while running for his life.",409.688,27,6.3,en,"Drama, War",https://image.tmdb.org/t/p/original/4RYZSHM3eaxXAnjbgNiVaqmekL8.jpg
2021-06-17,Luca,Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,408.749,5886,8.0,en,"Animation, Comedy, Family, Fantasy",https://image.tmdb.org/t/p/original/jTswp6KyDYKtvC52GbHagrZbGvD.jpg
2021-04-07,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",402.273,4447,7.2,en,"Action, Fantasy, Adventure",https://image.tmdb.org/t/p/original/nkayOAUBUu4mMvyNf9iHSUiPjF1.jpg
2021-03-18,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",398.461,7414,8.3,en,"Action, Adventure, Fantasy, Science Fiction",https://image.tmdb.org/t/p/original/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg
2021-12-17,Mother/Android,"Georgia and her boyfriend Sam go on a treacherous journey to escape their country, which is caught in an unexpected war with artificial intelligence. Days away from the arrival of their first child, the couple must face No Man’s Land—a stronghold of the android uprising—in hopes of reaching safety before giving birth.",398.12,422,5.8,en,"Science Fiction, Thriller",https://image.tmdb.org/t/p/original/rO3nV9d1wzHEWsC7xgwxotjZQpM.jpg
1986-11-04,Exploits of a Young Don Juan,"Roger is a 16-year-old who seeks to lose his virginity in this erotic drama. His initial efforts are unsuccessful, but World War I breaks out and men are seen marching off to battle. Roger goes overboard when he is presented with several amorous opportunities.",396.948,88,5.5,fr,"Comedy, Drama",https://image.tmdb.org/t/p/original/oZvMcGvyTfrFLny6i3RJONQb5C9.jpg
2021-09-15,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",394.295,6237,7.9,en,"Science Fiction, Adventure",https://image.tmdb.org/t/p/original/d5NXSklXo0qyIYkgV94XAgMIckC.jpg
2021-01-01,The Last Warrior: Root of Evil,"Peace and tranquility have set in Belogorie. The evil was defeated and Ivan is now enjoying his well-deserved fame. He is surrounded by his family, friends and small wonders from the modern world that help him lead a comfortable life. Luckily, he has his Magic Sword to cut a gap between the worlds to get some supplies quite regularly. But when an ancient evil rises and the existence of the magic world is put to danger, Ivan has to team up with his old friends and his new rivals. They will set out on a long journey beyond the known world to find a way to defeat the enemies and to return peace to Belogorie.",391.957,89,7.1,ru,"Fantasy, Adventure, Comedy",https://image.tmdb.org/t/p/original/4qE7mvUYGY5epfcgeJpM6EfHgq5.jpg
2022-02-09,The Privilege,A wealthy teen and his friends attending an elite private school uncover a dark conspiracy while looking into a series of strange supernatural events.,387.924,104,5.1,de,Horror,https://image.tmdb.org/t/p/original/qBLi3Nd5JMQGMiOmmfuPgLw5SzD.jpg
2021-06-11,Queen of Spades,"According to legend, an ominous entity known as the Queen of Spades can be summoned by performing an ancient ritual. Four teenagers summon the Queen of Spades, but they could never imagine the horrors that await them.",387.159,37,6.4,en,Horror,https://image.tmdb.org/t/p/original/4IKBzVBPLXu9p5cfEfdJjHdlafV.jpg
2021-10-28,Antlers,"A small-town Oregon teacher and her brother, the local sheriff, discover a young student is harbouring a dangerous secret that could have frightening consequences.",380.88,544,6.4,en,"Drama, Horror, Mystery",https://image.tmdb.org/t/p/original/cMch3tiexw3FdOEeZxMWVel61Xg.jpg
2021-11-05,Dangerous,"A reformed sociopath heads to a remote island after the death of his brother. Soon after his arrival, the island falls under siege from a deadly gang of mercenaries, and when he discovers their role in his brother’s demise, he sets out on a relentless quest for vengeance.",379.856,175,6.4,en,"Action, Thriller",https://image.tmdb.org/t/p/original/vTtkQGC7qKlSRQJZYtAWAmYdH0A.jpg
2021-09-01,After We Fell,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",365.85,1563,7.2,en,"Romance, Drama",https://image.tmdb.org/t/p/original/dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg
2021-09-29,No Time to Die,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",360.164,3616,7.5,en,"Adventure, Action, Thriller",https://image.tmdb.org/t/p/original/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg
2021-11-05,Sooryavanshi,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",352.368,93,5.8,hi,"Action, Crime, Thriller",https://image.tmdb.org/t/p/original/8p3mhjyLjHKtaAv8tFKfvEBtir0.jpg
2021-11-04,Finch,"On a post-apocalyptic Earth, a robot, built to protect the life of his dying creator's beloved dog, learns about life, love, friendship, and what it means to be human.",348.942,2075,8.1,en,"Science Fiction, Drama, Adventure",https://image.tmdb.org/t/p/original/jKuDyqx7jrjiR9cDzB5pxzhJAdv.jpg
2021-07-23,Two,"Two people, a man and a woman, wake up naked and with their abdomens attached to each other.",342.661,207,5.4,es,"Thriller, Horror",https://image.tmdb.org/t/p/original/5P7QwmoYl70tsRZ8e0VnI9RI1MF.jpg
2021-08-09,PAW Patrol: The Movie,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,339.374,855,7.5,en,"Animation, Family, Adventure, Comedy",https://image.tmdb.org/t/p/original/ic0intvXZSfBlYPIvWXpU1ivUCO.jpg
2018-04-25,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",338.402,24079,8.3,en,"Adventure, Action, Science Fiction",https://image.tmdb.org/t/p/original/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
1989-06-23,Batman,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld.",338.272,6109,7.2,en,"Fantasy, Action",https://image.tmdb.org/t/p/original/jUhGHv4YihieVjhU2TmFaBsZ4Xg.jpg
2021-07-07,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",337.651,7127,7.5,en,"Action, Adventure, Science Fiction",https://image.tmdb.org/t/p/original/qAZ0pzat24kLdO3o8ejmbLxyOac.jpg
2022-02-18,The Wonderful Winter of Mickey Mouse,The wonder of the winter season takes Mickey Mouse and his friends on a journey through three magical stories.,333.354,3,5.7,en,"Animation, Comedy",https://image.tmdb.org/t/p/original/3dspgMFx64kA8BqkGZQK6Hk1sCV.jpg
2021-05-19,F9,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,331.944,5092,7.3,en,"Action, Crime, Thriller, Adventure",https://image.tmdb.org/t/p/original/bOFaAXmWWXC3Rbv4u4uM9ZSzRXP.jpg
2022-02-03,Moonfall,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,328.678,186,5.9,en,"Action, Adventure, Science Fiction",https://image.tmdb.org/t/p/original/odVv1sqVs0KxBXiA8bhIBlPgalx.jpg
2022-02-04,"Sex, Shame and Tears 2","Twenty years have passed since those two apartments in the heart of Mexico City were the battlefield of a war of the sexes between Ana, Carlos, Andrea, Miguel, Tomás and María. All that is left of those apartments are memories and the image of Tomás' dead body at the bottom of the elevator shaft. Their lives have changed, their families have grown and new and unexpected characters have come to unsettle their daily lives and trigger a chain of events that will make them realize that modesty has been replaced by public disclosure; sex is only an app away; but love...love is still something elusive that everyone in today's banal and chaotic world is seeking.",325.624,5,2.2,es,"Comedy, Drama",https://image.tmdb.org/t/p/original/2ip2iDBSXfdHeXpR2qETGr5Q76V.jpg
